[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.498][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.499][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.499][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.499][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.499][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.499][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.499][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.499][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.499][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.499][ERR] GetUploadState, handle=-1, pProgress is NULL.
